State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
New Jersey,Newark,Newark Police Department,7,1,,,,2,1,"277,140","138,074","32,122",713,"4,318",68,"3,899","4,200","93,746",71.19,31,3516,3008,,2637,2543,2069,13648,10192,,8490,7624,7453
Virginia,Norfolk,Norfolk Police Department,7,,,,,4,,"242,803","102,452","107,463",935,"7,861",359,471,"7,118","16,144",50.80,12,1418,1280,1329,1616,1363,1134,17611,15834,12700,11870,12692,13469
Nevada,North Las Vegas,North Las Vegas Police Department,2,3,,,,2,,"216,961","41,561","67,687",871,"13,122","1,684",377,"7,525","84,134",27.10,80,1806,1782,2130,2276,2461,2386,,6922,5922,5935,5750,7056
California,Oakland,Oakland Police Department,7,,,,,1,1,"390,724","106,637","101,308","1,214","65,127","2,081","1,213","14,076","99,068",51.89,45,7984,6910,6051,6059,5521,5480,7562,9781,10850,11083,10518,8971
Oklahoma,Oklahoma City,Oklahoma City Police Department,24,7,3,,,14,,"579,999","85,744","328,582","18,208","23,051",464,700,"23,212","100,038",46.73,32,4998,4782,4828,5027,5104,5663,19330,19515,19660,18574,17246,15795
Nebraska,Omaha,Omaha Police Department,6,1,1,,,7,,"408,958","55,128","278,172","2,263","9,889",253,806,"8,894","53,553",58.03,15,2449,2458,2329,2531,2909,2628,19407,20400,,18677,,19072
Florida,Orlando,Orlando Police Department,9,5,,1,,3,,"238,300","63,584","98,533",483,"8,756",130,"1,688","4,643","60,483",60.99,248,2316,2340,2525,2328,2113,2282,11427,11408,10650,9344,9059,8727
Pennsylvania,Philadelphia,Philadelphia Police Department,21,,,,,2,10,"1,526,006","644,287","562,585","3,498","95,521",457,"4,105","27,942","187,611",73.35,114,17074,15925,16132,15534,14930,14420,86253,82799,69324,53807,52689,46301
Arizona,Phoenix,Phoenix Police Department,15,39,4,,,40,13,"1,445,632","86,788","672,573","23,327","43,894","2,055","2,242","24,876","589,877",49.89,69,9492,8749,9261,10700,12511,12110,70691,59811,,44335,49958,52449
Pennsylvania,Pittsburgh,Pittsburgh Police Department,6,,,,,1,,"305,704","78,847","198,186",505,"13,393",76,843,"6,890","6,964",56.55,4,2259,2455,2167,2366,2008,1751,17868,15406,12911,11897,13534,11699
Texas,Plano,Plano Police Department,,1,,,,1,,"259,841","19,199","151,629",831,"43,659",121,449,"5,779","38,174",26.40,26,389,459,433,399,435,402,8832,3432,9163,8885,9335,7657
Oregon,Portland,Portland Police Bureau,4,1,,,,13,,"583,776","35,462","421,773","4,381","41,335","2,978","1,299","21,708","54,840",38.64,12,2941,2911,680,3163,3349,3418,,20160,,20322,19107,20501
North Carolina,Raleigh,Raleigh Police Department,2,1,,,,1,,"403,892","115,976","215,204","1,019","17,309",139,828,"7,549","45,868",50.26,15,1683,,,,,,27458,,,,,
Nevada,Reno,Reno Police Department,3,5,,,,4,2,"225,221","5,990","140,752","2,066","13,913","1,505",441,"5,914","54,640",32.08,12,1154,1147,1419,1717,1674,1636,12196,12309,11869,12044,12837,14422
California,Riverside,Riverside Police Department,3,5,,,,,,"303,871","19,917","103,398","1,297","21,934","1,019",617,"6,736","148,953",25.41,27,1330,1384,1441,1724,1669,1686,8117,11796,8500,9122,7573,7443
New York,Rochester,Rochester Police Department,2,,,1,,1,,"210,565","83,346","79,178",666,"6,350",77,392,"6,100","34,456",51.59,28,2107,1765,1839,1845,1872,1615,,,,,,
California,Sacramento,Sacramento Police Department,5,2,,,,5,1,"466,488","64,967","161,062","2,586","83,841","6,392","1,253","21,111","125,276",40.57,103,3137,2968,3611,3549,3378,3329,18467,19824,18132,16282,13810,14054
Texas,San Antonio,San Antonio Police Department,8,25,,1,,9,4,"1,327,407","83,365","353,106","2,771","30,596","1,097","2,105","15,415","838,952",43.08,43,8828,7704,8594,10754,10759,9647,58324,57490,50826,42077,52253,61234
California,San Bernardino,San Bernardino Police Department,,5,,1,,3,1,"209,924","29,897","39,977",867,"8,027",704,361,"4,097","125,994",33.10,32,1949,2128,2697,2878,2805,2906,6996,7993,6337,6714,8120,9195
California,San Diego,San Diego Police Department,2,9,,4,1,12,2,"1,307,402","82,497","589,702","3,545","204,347","5,178","3,293","42,820","376,020",54.57,45,5303,5214,5582,5332,5221,5360,41444,40118,36587,35761,35725,33674
California,San Francisco,San Francisco Police Department,5,7,,1,,5,,"805,235","46,781","337,451","1,828","265,700","3,128","2,494","26,079","121,774",52.76,32,7064,6761,6710,6190,6301,6144,17451,14699,16604,15271,13950,13891
